net,length_um
clknet_1_0__leaf_clk,85.33µm
net21,76.69µm
net19,67.76µm
net20,60.62µm
clknet_1_1__leaf_clk,51.97µm
net22,49.01µm
psc_cnt\[2\],47.24µm
psc_cnt\[0\],46.64µm
net23,45.22µm
psc_cnt\[1\],44.31µm
psc_cnt\[4\],43.89µm
_059_,38.76µm
clk,37.65µm
psc_cnt\[10\],37.07µm
_049_,36.42µm
net17,32.78µm
psc_cnt\[5\],31.495µm
_053_,30.48µm
psc_cnt\[8\],27.32µm
_071_,27.27µm
_085_,25.28µm
psc_cnt\[9\],25.255µm
clknet_0_clk,24.84µm
psc_cnt\[7\],24.72µm
_088_,23.58µm
_076_,23.545µm
psc_cnt\[12\],22.42µm
psc_cnt\[3\],22.36µm
psc_cnt\[11\],21.385µm
psc_cnt\[14\],20.42µm
psc_cnt\[6\],19.58µm
_098_,18.16µm
_103_,18.14µm
_038_,17.64µm
_065_,16.83µm
_079_,16.48µm
_111_,16.48µm
net15,15.88µm
net4,15.86µm
_089_,15.26µm
net16,14.6µm
net7,14.56µm
_078_,14.52µm
_109_,13.7µm
_064_,13.64µm
psc[11],13.06µm
net18,12.8µm
_110_,12.38µm
_105_,12.2µm
psc[14],12.14µm
_086_,11.96µm
net2,11.805µm
psc[5],11.48µm
_090_,11.39µm
psc[10],11.22µm
_082_,11.1µm
_092_,11.08µm
_069_,10.96µm
psc_cnt\[13\],10.82µm
net3,10.815µm
psc[12],10.76µm
psc[13],10.76µm
psc[15],10.76µm
psc[8],10.76µm
psc[9],10.76µm
psc[4],10.56µm
psc[6],10.56µm
_096_,9.82µm
_102_,9.8µm
psc[2],9.64µm
psc[3],9.64µm
net12,9.6µm
_072_,9.58µm
net5,9.32µm
_083_,9.28µm
_104_,9.28µm
_075_,9.24µm
net13,9.12µm
_097_,8.86µm
psc[0],8.72µm
psc[1],8.72µm
psc[7],8.72µm
_061_,8.66µm
_063_,8.58µm
_084_,8.56µm
_074_,8.44µm
out,8.13µm
net25,7.98µm
_107_,7.9µm
_020_,7.82µm
_093_,7.66µm
_100_,7.62µm
_037_,7.56µm
_050_,7.44µm
rst,7.33µm
_087_,7.1µm
_044_,7.08µm
_030_,7.03µm
net14,6.93µm
_080_,6.66µm
_047_,6.6µm
_066_,6.58µm
_094_,6.52µm
_099_,6.52µm
_003_,6.24µm
_068_,6.14µm
_035_,6.08µm
_045_,5.92µm
net24,5.92µm
_041_,5.825µm
_040_,5.82µm
_043_,5.82µm
net27,5.62µm
net8,5.6µm
_077_,5.48µm
_106_,5.48µm
_029_,5.34µm
_067_,5.1µm
_031_,5.07µm
_011_,5.04µm
_010_,4.92µm
_012_,4.88µm
_062_,4.66µm
_039_,4.6µm
_081_,4.6µm
_101_,4.6µm
_006_,4.46µm
_051_,4.46µm
_004_,4.34µm
_008_,4.22µm
_042_,4.2µm
_056_,4.2µm
_033_,4.1µm
_036_,4.02µm
_005_,4µm
net11,3.98µm
_108_,3.88µm
_055_,3.86µm
net26,3.68µm
_021_,3.66µm
_009_,3.64µm
_032_,3.59µm
_001_,3.54µm
_091_,3.54µm
_002_,3.42µm
_046_,3.42µm
_070_,3.22µm
_073_,3.22µm
_016_,3.15µm
_022_,2.96µm
psc_cnt\[15\],2.96µm
_017_,2.84µm
_027_,2.84µm
_014_,2.74µm
_034_,2.52µm
_028_,2.5µm
net9,2.5µm
net10,2.5µm
_018_,2.23µm
_019_,2.23µm
_013_,2.18µm
_048_,2.18µm
_007_,2.16µm
_026_,2.16µm
net1,2.04µm
_000_,1.82µm
_015_,1.82µm
_024_,1.82µm
_054_,1.72µm
_060_,1.72µm
_095_,1.72µm
_057_,1.46µm
_058_,1.38µm
_023_,1.36µm
_025_,1.36µm
net6,1.14µm
_112_,0.92µm
_052_,0.46µm
