Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_17_103,VGND,li1,53.8200,59.8400,0.000011
FILLER_17_91,VGND,li1,50.1400,59.8400,0.000011
FILLER_17_83,VGND,li1,43.9300,59.8400,0.000011
FILLER_17_76,VGND,li1,40.9400,59.8400,0.000010
FILLER_17_69,VGND,li1,38.1800,59.8400,0.000010
FILLER_17_65,VGND,li1,35.6500,59.8400,0.000009
FILLER_17_57,VGND,li1,33.5800,59.8400,0.000009
FILLER_17_55,VGND,li1,31.0500,59.8400,0.000008
FILLER_17_48,VGND,li1,28.5200,59.8400,0.000007
FILLER_17_42,VGND,li1,25.5300,59.8400,0.000006
FILLER_17_34,VGND,li1,21.6200,59.8400,0.000006
FILLER_17_29,VGND,li1,19.3200,59.8400,0.000006
FILLER_17_27,VGND,li1,18.1700,59.8400,0.000006
FILLER_17_15,VGND,li1,15.1800,59.8400,0.000006
FILLER_17_3,VGND,li1,9.6600,59.8400,0.000006
FILLER_16_106,VGND,li1,54.5100,54.4000,0.000042
FILLER_16_98,VGND,li1,52.4400,54.4000,0.000042
FILLER_16_82,VGND,li1,43.7000,54.4000,0.000041
FILLER_16_70,VGND,li1,38.1800,54.4000,0.000038
FILLER_16_63,VGND,li1,34.7300,54.4000,0.000035
FILLER_16_59,VGND,li1,33.5800,54.4000,0.000035
FILLER_16_37,VGND,li1,23.0000,54.4000,0.000028
FILLER_16_27,VGND,li1,18.1700,54.4000,0.000031
FILLER_16_15,VGND,li1,15.1800,54.4000,0.000032
FILLER_16_3,VGND,li1,9.6600,54.4000,0.000032
FILLER_15_99,VGND,li1,52.9000,54.4000,0.000042
FILLER_15_55,VGND,li1,31.0500,54.4000,0.000031
FILLER_15_48,VGND,li1,28.0600,54.4000,0.000028
FILLER_15_21,VGND,li1,15.6400,54.4000,0.000032
FILLER_15_3,VGND,li1,9.6600,54.4000,0.000032
FILLER_14_85,VGND,li1,45.0800,48.9600,0.000072
FILLER_14_78,VGND,li1,42.7800,48.9600,0.000070
FILLER_14_62,VGND,li1,34.2700,48.9600,0.000057
FILLER_14_37,VGND,li1,22.7700,48.9600,0.000054
FILLER_14_29,VGND,li1,19.0900,48.9600,0.000065
FILLER_14_7,VGND,li1,8.9700,48.9600,0.000079
FILLER_14_3,VGND,li1,7.8200,48.9600,0.000079
FILLER_13_106,VGND,li1,54.5100,48.9600,0.000079
FILLER_13_102,VGND,li1,53.3600,48.9600,0.000079
FILLER_13_97,VGND,li1,50.6000,48.9600,0.000079
FILLER_13_89,VGND,li1,48.3000,48.9600,0.000077
FILLER_13_81,VGND,li1,43.0100,48.9600,0.000070
FILLER_13_73,VGND,li1,39.3300,48.9600,0.000064
FILLER_13_69,VGND,li1,38.1800,48.9600,0.000064
FILLER_13_57,VGND,li1,34.5000,48.9600,0.000057
FILLER_13_50,VGND,li1,29.9000,48.9600,0.000053
FILLER_13_38,VGND,li1,23.2300,48.9600,0.000054
FILLER_13_30,VGND,li1,19.7800,48.9600,0.000065
FILLER_13_9,VGND,li1,9.8900,48.9600,0.000079
FILLER_13_3,VGND,li1,8.2800,48.9600,0.000079
FILLER_12_106,VGND,li1,54.5100,43.5200,0.000187
FILLER_12_85,VGND,li1,44.8500,43.5200,0.000178
FILLER_12_82,VGND,li1,43.7000,43.5200,0.000178
FILLER_12_60,VGND,li1,34.5000,43.5200,0.000157
FILLER_12_38,VGND,li1,24.3800,43.5200,0.000129
FILLER_12_29,VGND,li1,19.0900,43.5200,0.000180
FILLER_12_27,VGND,li1,18.1700,43.5200,0.000198
FILLER_12_23,VGND,li1,16.3300,43.5200,0.000203
FILLER_12_15,VGND,li1,13.1100,43.5200,0.000210
FILLER_12_3,VGND,li1,9.6600,43.5200,0.000213
FILLER_11_106,VGND,li1,54.5100,43.5200,0.000187
FILLER_11_102,VGND,li1,53.3600,43.5200,0.000187
FILLER_11_95,VGND,li1,50.1400,43.5200,0.000187
FILLER_11_60,VGND,li1,33.5800,43.5200,0.000157
FILLER_11_7,VGND,li1,11.5000,43.5200,0.000210
FILLER_10_105,VGND,li1,54.2800,38.0800,0.000316
FILLER_10_97,VGND,li1,51.9800,38.0800,0.000316
FILLER_10_85,VGND,li1,47.3800,38.0800,0.000316
FILLER_10_76,VGND,li1,42.3200,38.0800,0.000301
FILLER_10_69,VGND,li1,37.4900,38.0800,0.000264
FILLER_9_95,VGND,li1,51.9800,38.0800,0.000316
FILLER_9_69,VGND,li1,37.7200,38.0800,0.000264
FILLER_9_57,VGND,li1,34.5000,38.0800,0.000239
FILLER_9_53,VGND,li1,30.5900,38.0800,0.000207
FILLER_9_47,VGND,li1,27.8300,38.0800,0.000184
FILLER_9_26,VGND,li1,17.7100,38.0800,0.000176
FILLER_9_14,VGND,li1,12.1900,38.0800,0.000194
FILLER_9_10,VGND,li1,11.0400,38.0800,0.000194
FILLER_8_105,VGND,li1,54.2800,32.6400,0.000357
FILLER_8_76,VGND,li1,42.3200,32.6400,0.000336
FILLER_8_44,VGND,li1,26.2200,32.6400,0.000210
FILLER_8_32,VGND,li1,23.0000,32.6400,0.000224
FILLER_8_3,VGND,li1,7.8200,32.6400,0.000279
FILLER_7_106,VGND,li1,54.5100,32.6400,0.000357
FILLER_7_100,VGND,li1,52.9000,32.6400,0.000357
FILLER_7_57,VGND,li1,31.9700,32.6400,0.000285
FILLER_7_55,VGND,li1,31.0500,32.6400,0.000273
FILLER_7_44,VGND,li1,25.9900,32.6400,0.000210
FILLER_7_38,VGND,li1,24.3800,32.6400,0.000224
FILLER_7_3,VGND,li1,8.7400,32.6400,0.000279
FILLER_6_105,VGND,li1,54.2800,27.2000,0.000216
FILLER_6_90,VGND,li1,48.3000,27.2000,0.000211
FILLER_6_83,VGND,li1,43.9300,27.2000,0.000196
FILLER_6_77,VGND,li1,41.6300,27.2000,0.000190
FILLER_6_60,VGND,li1,33.3500,27.2000,0.000158
FILLER_6_36,VGND,li1,22.3100,27.2000,0.000121
FILLER_6_32,VGND,li1,21.1600,27.2000,0.000121
FILLER_6_26,VGND,li1,17.9400,27.2000,0.000131
FILLER_6_11,VGND,li1,11.0400,27.2000,0.000137
FILLER_6_3,VGND,li1,8.7400,27.2000,0.000137
FILLER_5_69,VGND,li1,37.9500,27.2000,0.000176
FILLER_5_57,VGND,li1,34.5000,27.2000,0.000158
FILLER_5_52,VGND,li1,30.3600,27.2000,0.000144
FILLER_5_45,VGND,li1,26.4500,27.2000,0.000110
FILLER_5_41,VGND,li1,25.3000,27.2000,0.000110
FILLER_5_32,VGND,li1,20.7000,27.2000,0.000121
FILLER_5_20,VGND,li1,17.4800,27.2000,0.000131
FILLER_5_3,VGND,li1,8.7400,27.2000,0.000137
FILLER_4_105,VGND,li1,54.2800,21.7600,0.000228
FILLER_4_82,VGND,li1,43.7000,21.7600,0.000218
FILLER_4_76,VGND,li1,40.7100,21.7600,0.000200
FILLER_4_70,VGND,li1,39.1000,21.7600,0.000200
FILLER_4_58,VGND,li1,34.9600,21.7600,0.000175
FILLER_4_29,VGND,li1,20.2400,21.7600,0.000146
FILLER_4_27,VGND,li1,18.1700,21.7600,0.000156
FILLER_4_3,VGND,li1,7.1300,21.7600,0.000175
FILLER_3_100,VGND,li1,52.4400,21.7600,0.000228
FILLER_3_96,VGND,li1,49.9100,21.7600,0.000228
FILLER_3_88,VGND,li1,47.8400,21.7600,0.000228
FILLER_3_79,VGND,li1,42.5500,21.7600,0.000209
FILLER_3_70,VGND,li1,39.1000,21.7600,0.000200
FILLER_3_63,VGND,li1,34.7300,21.7600,0.000175
FILLER_3_57,VGND,li1,32.2000,21.7600,0.000163
FILLER_3_48,VGND,li1,29.4400,21.7600,0.000152
FILLER_3_32,VGND,li1,20.7000,21.7600,0.000146
FILLER_3_20,VGND,li1,17.4800,21.7600,0.000156
FILLER_3_11,VGND,li1,11.2700,21.7600,0.000175
FILLER_3_3,VGND,li1,8.7400,21.7600,0.000175
FILLER_2_105,VGND,li1,54.2800,16.3200,0.000084
FILLER_2_97,VGND,li1,51.9800,16.3200,0.000084
FILLER_2_85,VGND,li1,47.3800,16.3200,0.000084
FILLER_2_83,VGND,li1,43.9300,16.3200,0.000084
FILLER_2_69,VGND,li1,37.7200,16.3200,0.000079
FILLER_2_59,VGND,li1,33.3500,16.3200,0.000068
FILLER_2_49,VGND,li1,28.2900,16.3200,0.000057
FILLER_2_27,VGND,li1,18.1700,16.3200,0.000048
FILLER_2_15,VGND,li1,15.1800,16.3200,0.000048
FILLER_2_3,VGND,li1,9.6600,16.3200,0.000048
FILLER_1_104,VGND,li1,54.0500,16.3200,0.000084
FILLER_1_92,VGND,li1,50.6000,16.3200,0.000084
FILLER_1_80,VGND,li1,45.0800,16.3200,0.000084
FILLER_1_60,VGND,li1,33.3500,16.3200,0.000068
FILLER_1_55,VGND,li1,31.0500,16.3200,0.000064
FILLER_1_47,VGND,li1,28.9800,16.3200,0.000057
FILLER_1_43,VGND,li1,25.5300,16.3200,0.000045
FILLER_1_36,VGND,li1,22.3100,16.3200,0.000047
FILLER_1_23,VGND,li1,16.7900,16.3200,0.000048
