Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_17_103,VPWR,li1,53.8200,57.1200,1.799974
FILLER_17_91,VPWR,li1,50.1400,57.1200,1.799974
FILLER_17_83,VPWR,li1,43.9300,57.1200,1.799975
FILLER_17_76,VPWR,li1,40.9400,57.1200,1.799975
FILLER_17_69,VPWR,li1,38.1800,57.1200,1.799976
FILLER_17_65,VPWR,li1,35.6500,57.1200,1.799976
FILLER_17_57,VPWR,li1,33.5800,57.1200,1.799977
FILLER_17_55,VPWR,li1,31.0500,57.1200,1.799979
FILLER_17_48,VPWR,li1,28.5200,57.1200,1.799980
FILLER_17_42,VPWR,li1,25.5300,57.1200,1.799982
FILLER_17_34,VPWR,li1,21.6200,57.1200,1.799986
FILLER_17_29,VPWR,li1,19.3200,57.1200,1.799986
FILLER_17_27,VPWR,li1,18.1700,57.1200,1.799986
FILLER_17_15,VPWR,li1,15.1800,57.1200,1.799986
FILLER_17_3,VPWR,li1,9.6600,57.1200,1.799986
FILLER_16_106,VPWR,li1,54.5100,57.1200,1.799974
FILLER_16_98,VPWR,li1,52.4400,57.1200,1.799974
FILLER_16_82,VPWR,li1,43.7000,57.1200,1.799975
FILLER_16_70,VPWR,li1,38.1800,57.1200,1.799976
FILLER_16_63,VPWR,li1,34.7300,57.1200,1.799977
FILLER_16_59,VPWR,li1,33.5800,57.1200,1.799977
FILLER_16_37,VPWR,li1,23.0000,57.1200,1.799984
FILLER_16_27,VPWR,li1,18.1700,57.1200,1.799986
FILLER_16_15,VPWR,li1,15.1800,57.1200,1.799986
FILLER_16_3,VPWR,li1,9.6600,57.1200,1.799986
FILLER_15_99,VPWR,li1,52.9000,51.6800,1.799898
FILLER_15_55,VPWR,li1,31.0500,51.6800,1.799931
FILLER_15_48,VPWR,li1,28.0600,51.6800,1.799936
FILLER_15_21,VPWR,li1,15.6400,51.6800,1.799943
FILLER_15_3,VPWR,li1,9.6600,51.6800,1.799940
FILLER_14_85,VPWR,li1,45.0800,51.6800,1.799904
FILLER_14_78,VPWR,li1,42.7800,51.6800,1.799907
FILLER_14_62,VPWR,li1,34.2700,51.6800,1.799925
FILLER_14_37,VPWR,li1,22.7700,51.6800,1.799948
FILLER_14_29,VPWR,li1,19.0900,51.6800,1.799947
FILLER_14_7,VPWR,li1,8.9700,51.6800,1.799940
FILLER_14_3,VPWR,li1,7.8200,51.6800,1.799940
FILLER_13_106,VPWR,li1,54.5100,46.2400,1.799926
FILLER_13_102,VPWR,li1,53.3600,46.2400,1.799926
FILLER_13_97,VPWR,li1,50.6000,46.2400,1.799926
FILLER_13_89,VPWR,li1,48.3000,46.2400,1.799926
FILLER_13_81,VPWR,li1,43.0100,46.2400,1.799933
FILLER_13_73,VPWR,li1,39.3300,46.2400,1.799940
FILLER_13_69,VPWR,li1,38.1800,46.2400,1.799940
FILLER_13_57,VPWR,li1,34.5000,46.2400,1.799946
FILLER_13_50,VPWR,li1,29.9000,46.2400,1.799954
FILLER_13_38,VPWR,li1,23.2300,46.2400,1.799967
FILLER_13_30,VPWR,li1,19.7800,46.2400,1.799964
FILLER_13_9,VPWR,li1,9.8900,46.2400,1.799957
FILLER_13_3,VPWR,li1,8.2800,46.2400,1.799957
FILLER_12_106,VPWR,li1,54.5100,46.2400,1.799926
FILLER_12_85,VPWR,li1,44.8500,46.2400,1.799930
FILLER_12_82,VPWR,li1,43.7000,46.2400,1.799933
FILLER_12_60,VPWR,li1,34.5000,46.2400,1.799946
FILLER_12_38,VPWR,li1,24.3800,46.2400,1.799962
FILLER_12_29,VPWR,li1,19.0900,46.2400,1.799964
FILLER_12_27,VPWR,li1,18.1700,46.2400,1.799962
FILLER_12_23,VPWR,li1,16.3300,46.2400,1.799960
FILLER_12_15,VPWR,li1,13.1100,46.2400,1.799957
FILLER_12_3,VPWR,li1,9.6600,46.2400,1.799957
FILLER_11_106,VPWR,li1,54.5100,40.8000,1.799820
FILLER_11_102,VPWR,li1,53.3600,40.8000,1.799820
FILLER_11_95,VPWR,li1,50.1400,40.8000,1.799820
FILLER_11_60,VPWR,li1,33.5800,40.8000,1.799829
FILLER_11_7,VPWR,li1,11.5000,40.8000,1.799816
FILLER_10_105,VPWR,li1,54.2800,40.8000,1.799820
FILLER_10_97,VPWR,li1,51.9800,40.8000,1.799820
FILLER_10_85,VPWR,li1,47.3800,40.8000,1.799820
FILLER_10_76,VPWR,li1,42.3200,40.8000,1.799821
FILLER_10_69,VPWR,li1,37.4900,40.8000,1.799821
FILLER_9_95,VPWR,li1,51.9800,35.3600,1.799451
FILLER_9_69,VPWR,li1,37.7200,35.3600,1.799531
FILLER_9_57,VPWR,li1,34.5000,35.3600,1.799563
FILLER_9_53,VPWR,li1,30.5900,35.3600,1.799634
FILLER_9_47,VPWR,li1,27.8300,35.3600,1.799687
FILLER_9_26,VPWR,li1,17.7100,35.3600,1.799741
FILLER_9_14,VPWR,li1,12.1900,35.3600,1.799725
FILLER_9_10,VPWR,li1,11.0400,35.3600,1.799725
FILLER_8_105,VPWR,li1,54.2800,35.3600,1.799451
FILLER_8_76,VPWR,li1,42.3200,35.3600,1.799483
FILLER_8_44,VPWR,li1,26.2200,35.3600,1.799687
FILLER_8_32,VPWR,li1,23.0000,35.3600,1.799765
FILLER_8_3,VPWR,li1,7.8200,35.3600,1.799723
FILLER_7_106,VPWR,li1,54.5100,29.9200,1.799729
FILLER_7_100,VPWR,li1,52.9000,29.9200,1.799729
FILLER_7_57,VPWR,li1,31.9700,29.9200,1.799779
FILLER_7_55,VPWR,li1,31.0500,29.9200,1.799779
FILLER_7_44,VPWR,li1,25.9900,29.9200,1.799813
FILLER_7_38,VPWR,li1,24.3800,29.9200,1.799839
FILLER_7_3,VPWR,li1,8.7400,29.9200,1.799836
FILLER_6_105,VPWR,li1,54.2800,29.9200,1.799729
FILLER_6_90,VPWR,li1,48.3000,29.9200,1.799730
FILLER_6_83,VPWR,li1,43.9300,29.9200,1.799735
