net,length_um
_043_,83.52µm
net9,73.84µm
psc_cnt\[4\],41.34µm
psc_cnt\[3\],39.255µm
clknet_1_0__leaf_clk,38.36µm
psc_cnt\[1\],32.04µm
clknet_0_clk,31.14µm
psc_cnt\[6\],28.07µm
psc_cnt\[0\],27.54µm
_046_,26.38µm
clknet_1_1__leaf_clk,24.92µm
_052_,24.54µm
psc_cnt\[5\],22.78µm
_048_,20.16µm
_025_,17.66µm
_041_,16.86µm
psc[1],16.86µm
_050_,16.68µm
_019_,14.94µm
clk,14.59µm
_045_,14.06µm
_036_,13.54µm
_054_,13.08µm
psc_cnt\[7\],12.765µm
_021_,12.72µm
psc_cnt\[2\],12.605µm
psc[0],12.26µm
net6,12.18µm
net1,10.97µm
_049_,10.84µm
psc[2],10.42µm
_020_,10.36µm
_023_,10.16µm
net8,9.795µm
net10,9.7µm
_007_,7.68µm
_002_,7.62µm
psc[4],7.03µm
_034_,6.98µm
_006_,6.88µm
_039_,6.52µm
net7,6.43µm
_022_,6.14µm
_028_,6.14µm
_031_,6.14µm
psc[3],5.85µm
out,5.75µm
net4,5.74µm
_018_,5.72µm
_026_,5.53µm
net3,5.26µm
net2,4.935µm
psc[5],4.83µm
rst,4.61µm
_053_,4.6µm
_044_,4.56µm
_047_,4.56µm
psc[6],4.49µm
_030_,4.48µm
_038_,4.42µm
_040_,4.42µm
_042_,4.42µm
_015_,4.15µm
_008_,4.08µm
_035_,4.08µm
_033_,3.88µm
_055_,3.86µm
_005_,3.76µm
_032_,3.66µm
_027_,3.54µm
psc[7],3.47µm
net12,3.42µm
_013_,3.2µm
_029_,3.08µm
_012_,2.84µm
_014_,2.69µm
_010_,2.38µm
net11,2.3µm
_001_,2.18µm
_003_,2.18µm
_004_,2.18µm
_024_,2.05µm
_051_,1.94µm
_000_,1.82µm
_011_,1.82µm
_017_,1.7µm
net13,1.7µm
_009_,1.36µm
_016_,1.36µm
net5,1.14µm
_037_,1.02µm
