Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_12_74,VGND,li1,40.0200,43.5200,0.000120
FILLER_12_62,VGND,li1,36.8000,43.5200,0.000120
FILLER_12_57,VGND,li1,32.2000,43.5200,0.000118
FILLER_12_54,VGND,li1,30.8200,43.5200,0.000118
FILLER_12_46,VGND,li1,28.5200,43.5200,0.000116
FILLER_12_26,VGND,li1,17.9400,43.5200,0.000164
FILLER_12_19,VGND,li1,14.4900,43.5200,0.000167
FILLER_12_15,VGND,li1,13.3400,43.5200,0.000167
FILLER_12_3,VGND,li1,9.6600,43.5200,0.000167
FILLER_11_75,VGND,li1,40.2500,43.5200,0.000120
FILLER_11_69,VGND,li1,38.6400,43.5200,0.000120
FILLER_11_57,VGND,li1,32.4300,43.5200,0.000118
FILLER_11_15,VGND,li1,12.6500,43.5200,0.000167
FILLER_11_3,VGND,li1,9.6600,43.5200,0.000167
FILLER_10_70,VGND,li1,39.1000,38.0800,0.000120
FILLER_10_55,VGND,li1,31.5100,38.0800,0.000113
FILLER_10_45,VGND,li1,27.1400,38.0800,0.000099
FILLER_10_36,VGND,li1,22.3100,38.0800,0.000104
FILLER_10_29,VGND,li1,19.0900,38.0800,0.000115
FILLER_9_61,VGND,li1,33.8100,38.0800,0.000118
FILLER_9_57,VGND,li1,32.6600,38.0800,0.000113
FILLER_9_44,VGND,li1,28.5200,38.0800,0.000106
FILLER_9_28,VGND,li1,18.6300,38.0800,0.000122
FILLER_9_22,VGND,li1,17.0200,38.0800,0.000122
FILLER_9_14,VGND,li1,12.6500,38.0800,0.000138
FILLER_9_3,VGND,li1,8.7400,38.0800,0.000138
FILLER_8_70,VGND,li1,39.1000,32.6400,0.000182
FILLER_8_29,VGND,li1,19.0900,32.6400,0.000208
FILLER_7_74,VGND,li1,40.0200,32.6400,0.000182
FILLER_7_66,VGND,li1,36.3400,32.6400,0.000181
FILLER_7_57,VGND,li1,33.1200,32.6400,0.000181
FILLER_7_55,VGND,li1,31.0500,32.6400,0.000177
FILLER_7_51,VGND,li1,29.9000,32.6400,0.000171
FILLER_7_46,VGND,li1,27.1400,32.6400,0.000166
FILLER_7_19,VGND,li1,14.7200,32.6400,0.000222
FILLER_7_11,VGND,li1,11.0400,32.6400,0.000232
FILLER_6_59,VGND,li1,32.8900,27.2000,0.000097
FILLER_6_53,VGND,li1,31.2800,27.2000,0.000095
FILLER_6_41,VGND,li1,27.1400,27.2000,0.000088
FILLER_6_29,VGND,li1,19.3200,27.2000,0.000107
FILLER_6_16,VGND,li1,15.6400,27.2000,0.000117
FILLER_6_9,VGND,li1,9.8900,27.2000,0.000131
FILLER_5_72,VGND,li1,38.8700,27.2000,0.000102
FILLER_5_60,VGND,li1,34.0400,27.2000,0.000097
FILLER_5_55,VGND,li1,31.0500,27.2000,0.000095
FILLER_5_24,VGND,li1,17.4800,27.2000,0.000112
FILLER_5_3,VGND,li1,7.1300,27.2000,0.000131
FILLER_4_73,VGND,li1,39.7900,21.7600,0.000056
FILLER_4_56,VGND,li1,31.5100,21.7600,0.000052
FILLER_4_50,VGND,li1,29.9000,21.7600,0.000052
FILLER_4_35,VGND,li1,24.3800,21.7600,0.000044
FILLER_4_29,VGND,li1,19.0900,21.7600,0.000055
FILLER_4_27,VGND,li1,18.1700,21.7600,0.000059
FILLER_4_21,VGND,li1,15.4100,21.7600,0.000062
FILLER_4_17,VGND,li1,14.2600,21.7600,0.000062
FILLER_4_9,VGND,li1,9.8900,21.7600,0.000066
FILLER_4_3,VGND,li1,8.2800,21.7600,0.000066
FILLER_3_75,VGND,li1,40.2500,21.7600,0.000056
FILLER_3_69,VGND,li1,38.6400,21.7600,0.000056
FILLER_3_60,VGND,li1,34.0400,21.7600,0.000054
FILLER_3_32,VGND,li1,21.1600,21.7600,0.000052
FILLER_3_25,VGND,li1,17.9400,21.7600,0.000059
FILLER_3_9,VGND,li1,9.8900,21.7600,0.000066
FILLER_3_3,VGND,li1,8.2800,21.7600,0.000066
FILLER_2_72,VGND,li1,38.8700,16.3200,0.000165
FILLER_2_58,VGND,li1,32.4300,16.3200,0.000162
FILLER_1_60,VGND,li1,33.8100,16.3200,0.000163
FILLER_1_30,VGND,li1,19.5500,16.3200,0.000166
FILLER_1_26,VGND,li1,18.4000,16.3200,0.000176
FILLER_1_14,VGND,li1,14.7200,16.3200,0.000187
FILLER_1_7,VGND,li1,9.6600,16.3200,0.000204
FILLER_0_70,VGND,li1,39.1000,10.8800,0.000007
FILLER_0_57,VGND,li1,33.5800,10.8800,0.000006
FILLER_0_53,VGND,li1,30.5900,10.8800,0.000005
FILLER_0_41,VGND,li1,27.1400,10.8800,0.000004
FILLER_0_29,VGND,li1,21.6200,10.8800,0.000003
FILLER_0_27,VGND,li1,18.1700,10.8800,0.000003
FILLER_0_15,VGND,li1,15.1800,10.8800,0.000003
FILLER_0_3,VGND,li1,9.6600,10.8800,0.000003
hold3,VGND,li1,33.5800,21.7600,0.000054
hold2,VGND,li1,8.7400,32.6400,0.000232
hold1,VGND,li1,11.9600,21.7600,0.000066
clkload0,VGND,li1,16.1000,43.5200,0.000167
clkbuf_1_1__f_clk,VGND,li1,17.4800,43.5200,0.000164
clkbuf_1_0__f_clk,VGND,li1,23.4600,16.3200,0.000147
clkbuf_0_clk,VGND,li1,19.7800,32.6400,0.000208
output10,VGND,li1,7.8200,16.3200,0.000211
input9,VGND,li1,8.2800,27.2000,0.000131
input8,VGND,li1,39.7900,16.3200,0.000165
input7,VGND,li1,39.7900,16.3200,0.000165
input6,VGND,li1,39.7900,27.2000,0.000102
input5,VGND,li1,37.4900,32.6400,0.000182
input4,VGND,li1,39.7900,38.0800,0.000120
input3,VGND,li1,33.3500,43.5200,0.000119
input2,VGND,li1,25.9900,43.5200,0.000109
input1,VGND,li1,24.6100,43.5200,0.000109
