net,length_um
net31,144.01µm
net34,140.19µm
net30,106.02µm
net33,103.22µm
_091_,102.48µm
_093_,97.36µm
net28,91.54µm
net24,75.32µm
net17,74.5µm
i_clk_mux.clk_sel_i,69.94µm
net22,67.86µm
net25,67.4µm
div_q\[2\],67.34µm
div_q\[7\],62.58µm
net21,62.23µm
net1,60.76µm
net20,60.24µm
net16,60.12µm
net26,59.44µm
div_q\[6\],59.2µm
net27,58.94µm
net29,58.21µm
div_q\[3\],55.56µm
net18,54.16µm
_131_,50.12µm
_110_,44.48µm
net7,42.915µm
clk_div_bypass_en_q,40.49µm
div_q\[5\],40.44µm
div_q\[1\],38.44µm
_047_,37.975µm
_097_,35.14µm
net4,34.11µm
net6,33.5µm
net15,32.9µm
clk_gate_state_q\[1\],30.05µm
_054_,30.02µm
_114_,30µm
net32,29.94µm
net19,28.98µm
net35,28.7µm
_032_,25.22µm
net12,24.68µm
_135_,21.14µm
even_clk,19.38µm
_079_,19.32µm
_059_,19.02µm
net10,18.6µm
_122_,18.58µm
_134_,18.305µm
_117_,18.08µm
_128_,17.7µm
clk_gate_state_q\[0\],17.7µm
gate_is_open_q,17.48µm
div_q\[0\],17.19µm
_113_,17.18µm
_108_,16.78µm
_132_,16.7µm
_138_,16.62µm
_028_,16.22µm
net9,16.18µm
net3,16.14µm
_089_,16.1µm
_090_,16.02µm
_087_,15.26µm
div_ready_o,14.22µm
i_odd_clk_xor.clk1_i,13.72µm
div_q\[4\],13.68µm
_086_,13.42µm
_133_,13.38µm
_002_,12.82µm
_125_,12.82µm
_025_,12.8µm
net8,12.66µm
_034_,12.58µm
net11,12.58µm
_062_,12.56µm
_130_,11.92µm
_070_,11.68µm
_033_,11.66µm
_102_,11.66µm
_044_,11.6µm
_129_,11.44µm
i_clk_gate.en_i,11.38µm
_127_,11.34µm
div_valid_i,11.34µm
net36,11.26µm
_115_,11.12µm
_105_,10.84µm
_109_,10.82µm
_112_,10.78µm
_043_,10.66µm
_030_,10.5µm
en_i,10.42µm
test_mode_en_i,10.42µm
_050_,10.4µm
_073_,10.12µm
_111_,10.06µm
div_i[5],10.05µm
_078_,10.04µm
_017_,9.98µm
_016_,9.9µm
clk_o,9.86µm
_124_,9.84µm
_040_,9.68µm
_082_,9.66µm
net23,9.44µm
_056_,9.14µm
_103_,8.78µm
_036_,8.585µm
_021_,8.56µm
cycl_count_o[0],8.5µm
cycl_count_o[1],8.5µm
cycl_count_o[2],8.5µm
_046_,8.48µm
net13,8.06µm
_007_,8.02µm
_139_,7.8µm
net38,7.74µm
_088_,7.72µm
_019_,7.6µm
_137_,7.58µm
_083_,7.48µm
_048_,7.38µm
_118_,7.3µm
_074_,7.28µm
net5,7.18µm
i_clk_gate.clk_en,7.16µm
_098_,7.1µm
cycl_count_o[4],6.91µm
_042_,6.86µm
_049_,6.76µm
_096_,6.72µm
_066_,6.6µm
_077_,6.6µm
_101_,6.6µm
div_i[3],6.31µm
_004_,6.26µm
_039_,6.18µm
_075_,6.18µm
_045_,6.14µm
_055_,6.14µm
_094_,6.14µm
div_i[0],6.11µm
_001_,6.02µm
rst_ni,5.97µm
_068_,5.72µm
_052_,5.68µm
_010_,5.5µm
_037_,5.455µm
div_i[2],5.41µm
_063_,5.36µm
clk_i,5.29µm
div_i[1],5.29µm
_029_,5.22µm
_069_,5.22µm
_031_,5.1µm
cycl_count_o[3],5.07µm
cycl_count_o[5],5.07µm
cycl_count_o[7],5.07µm
_095_,5.04µm
_023_,5µm
div_i[4],4.95µm
div_i[7],4.95µm
_051_,4.92µm
_092_,4.88µm
_080_,4.76µm
_104_,4.76µm
cycl_count_o[6],4.73µm
div_i[6],4.61µm
_008_,4.54µm
_058_,4.48µm
_053_,4.1µm
_013_,4µm
_116_,4µm
_136_,4µm
_107_,3.9µm
_067_,3.88µm
_106_,3.78µm
_015_,3.66µm
_126_,3.64µm
_024_,3.54µm
_099_,3.54µm
_065_,3.42µm
net2,3.42µm
_038_,3.22µm
_100_,3.1µm
_005_,3.08µm
_020_,3.08µm
_035_,3.08µm
net14,3.08µm
net37,3.08µm
_057_,2.96µm
_076_,2.96µm
_041_,2.905µm
gate_en_d,2.765µm
_022_,2.74µm
_027_,2.64µm
_000_,2.62µm
_006_,2.62µm
_009_,2.62µm
_081_,2.3µm
_014_,2.28µm
_012_,2.16µm
_064_,2.16µm
_121_,1.94µm
_011_,1.84µm
_060_,1.84µm
_072_,1.84µm
_018_,1.82µm
_085_,1.82µm
gate_en_q,1.72µm
_084_,1.7µm
_120_,1.7µm
_026_,1.48µm
_123_,1.48µm
_061_,1.36µm
_119_,1.36µm
_003_,0.92µm
_071_,0.92µm
