Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_22_133,VGND,li1,67.1600,70.7200,0.000121
FILLER_22_125,VGND,li1,64.8600,70.7200,0.000121
FILLER_22_113,VGND,li1,60.2600,70.7200,0.000121
FILLER_22_110,VGND,li1,56.5800,70.7200,0.000121
FILLER_22_98,VGND,li1,53.3600,70.7200,0.000121
FILLER_22_93,VGND,li1,48.5300,70.7200,0.000121
FILLER_22_85,VGND,li1,46.4600,70.7200,0.000118
FILLER_22_83,VGND,li1,43.9300,70.7200,0.000112
FILLER_22_77,VGND,li1,41.6300,70.7200,0.000107
FILLER_22_69,VGND,li1,39.1000,70.7200,0.000101
FILLER_22_41,VGND,li1,27.1400,70.7200,0.000059
FILLER_22_29,VGND,li1,21.6200,70.7200,0.000049
FILLER_22_27,VGND,li1,18.1700,70.7200,0.000049
FILLER_22_15,VGND,li1,15.1800,70.7200,0.000049
FILLER_22_3,VGND,li1,9.6600,70.7200,0.000049
FILLER_21_133,VGND,li1,67.1600,70.7200,0.000121
FILLER_21_125,VGND,li1,64.8600,70.7200,0.000121
FILLER_21_113,VGND,li1,60.2600,70.7200,0.000121
FILLER_21_109,VGND,li1,56.3500,70.7200,0.000121
FILLER_21_101,VGND,li1,53.8200,70.7200,0.000121
FILLER_21_86,VGND,li1,45.3100,70.7200,0.000112
FILLER_21_79,VGND,li1,42.7800,70.7200,0.000107
FILLER_21_67,VGND,li1,39.1000,70.7200,0.000101
FILLER_21_60,VGND,li1,33.3500,70.7200,0.000084
FILLER_21_53,VGND,li1,30.5900,70.7200,0.000075
FILLER_21_39,VGND,li1,25.3000,70.7200,0.000049
FILLER_21_27,VGND,li1,20.7000,70.7200,0.000049
FILLER_21_15,VGND,li1,15.1800,70.7200,0.000049
FILLER_21_3,VGND,li1,9.6600,70.7200,0.000049
FILLER_20_129,VGND,li1,66.2400,65.2800,0.000146
FILLER_20_117,VGND,li1,62.1000,65.2800,0.000146
FILLER_20_105,VGND,li1,56.5800,65.2800,0.000139
FILLER_20_78,VGND,li1,41.6300,65.2800,0.000114
FILLER_20_33,VGND,li1,21.1600,65.2800,0.000073
FILLER_20_26,VGND,li1,17.9400,65.2800,0.000076
FILLER_20_18,VGND,li1,15.6400,65.2800,0.000076
FILLER_20_6,VGND,li1,11.0400,65.2800,0.000077
FILLER_19_133,VGND,li1,67.1600,65.2800,0.000146
FILLER_19_109,VGND,li1,56.3500,65.2800,0.000139
FILLER_19_101,VGND,li1,53.8200,65.2800,0.000137
FILLER_19_76,VGND,li1,41.1700,65.2800,0.000114
FILLER_19_54,VGND,li1,30.8200,65.2800,0.000085
FILLER_19_46,VGND,li1,26.9100,65.2800,0.000071
FILLER_19_3,VGND,li1,9.6600,65.2800,0.000077
FILLER_18_134,VGND,li1,67.3900,59.8400,0.000146
FILLER_18_128,VGND,li1,65.7800,59.8400,0.000146
FILLER_18_116,VGND,li1,61.6400,59.8400,0.000146
FILLER_18_104,VGND,li1,56.1200,59.8400,0.000146
FILLER_18_96,VGND,li1,49.9100,59.8400,0.000143
FILLER_18_92,VGND,li1,48.7600,59.8400,0.000143
FILLER_18_85,VGND,li1,45.5400,59.8400,0.000137
FILLER_18_76,VGND,li1,42.3200,59.8400,0.000130
FILLER_18_42,VGND,li1,25.5300,59.8400,0.000077
