net,length_um
net39,118.76µm
net41,113.54µm
net35,104.5µm
_205_,101.17µm
clknet_2_0__leaf_clk,78.98µm
clknet_2_1__leaf_clk,77.4µm
clknet_2_2__leaf_clk,73.64µm
net38,72.02µm
net42,66.9µm
net44,65.24µm
net37,65.16µm
clk,60.69µm
psc_cnt\[26\],57.24µm
clknet_0_clk,55.98µm
net40,53.06µm
psc_cnt\[0\],51.84µm
clknet_2_3__leaf_clk,50.36µm
net36,49.92µm
psc_cnt\[25\],48.52µm
psc_cnt\[1\],47.88µm
net33,47.76µm
_179_,47.52µm
_173_,46.5µm
psc_cnt\[4\],41.32µm
_213_,39.28µm
_074_,38.9µm
_073_,38.64µm
psc_cnt\[20\],36µm
_197_,35.4µm
net13,34.98µm
psc_cnt\[24\],34.44µm
_118_,34.08µm
psc_cnt\[6\],33.06µm
_169_,32.78µm
psc_cnt\[27\],32.5µm
psc_cnt\[16\],31.94µm
_072_,31.9µm
_123_,31.12µm
psc_cnt\[23\],31.04µm
psc_cnt\[17\],30.48µm
_080_,30.42µm
psc_cnt\[2\],29.36µm
_230_,28.22µm
_119_,28.1µm
_155_,27.1µm
_154_,26.94µm
psc_cnt\[28\],26.8µm
_163_,26.785µm
psc_cnt\[7\],26.26µm
psc_cnt\[22\],26.06µm
net14,26.06µm
psc_cnt\[21\],25.84µm
psc_cnt\[18\],24.78µm
_108_,24.04µm
_188_,23.94µm
_067_,23.88µm
psc_cnt\[11\],23.14µm
psc_cnt\[30\],22.8µm
psc_cnt\[5\],22.76µm
psc_cnt\[8\],22.7µm
_075_,22.665µm
net11,22.16µm
_079_,21.3µm
_158_,21.28µm
psc_cnt\[29\],19.5µm
net32,19.16µm
_171_,19.08µm
_216_,19.06µm
_170_,18.935µm
_219_,18.62µm
_071_,18.52µm
_192_,18.32µm
_225_,18.16µm
psc_cnt\[14\],17.86µm
_159_,17.84µm
_226_,17.8µm
net22,17.76µm
_156_,17.72µm
psc_cnt\[31\],17.16µm
psc_cnt\[12\],16.86µm
psc_cnt\[10\],16.77µm
_131_,16.64µm
_203_,16.62µm
psc_cnt\[3\],16.22µm
_070_,15.82µm
_143_,15.635µm
_184_,15.56µm
_135_,15.34µm
net21,15.24µm
_235_,15.04µm
_141_,15.02µm
psc[2],13.93µm
_113_,13.88µm
_094_,13.6µm
_147_,13.5µm
net2,13.16µm
_152_,13µm
_183_,12.98µm
_125_,12.97µm
psc[15],12.84µm
_092_,12.79µm
psc_cnt\[13\],12.64µm
_161_,12.62µm
_220_,12.04µm
_195_,11.88µm
out,11.72µm
net6,11.66µm
psc[21],11.48µm
_105_,11.35µm
net15,11.26µm
_153_,11.14µm
_168_,11.12µm
_099_,11.1µm
_012_,11.02µm
_016_,11.02µm
psc[13],11µm
psc[14],11µm
_222_,10.92µm
_103_,10.66µm
_096_,10.6µm
_097_,10.56µm
_015_,10.46µm
_227_,10.36µm
_120_,10.3µm
_196_,10.16µm
psc[26],10.11µm
psc[10],10.08µm
psc[11],10.08µm
psc[12],10.08µm
_144_,10.04µm
_106_,9.84µm
_233_,9.79µm
_083_,9.78µm
net31,9.78µm
_137_,9.72µm
net17,9.7µm
psc[18],9.64µm
psc[22],9.64µm
_190_,9.31µm
_212_,9.3µm
_211_,9.28µm
net23,9.28µm
_128_,9.26µm
_231_,9.12µm
_201_,9.04µm
_134_,8.9µm
_209_,8.82µm
psc[19],8.72µm
psc[8],8.69µm
_026_,8.62µm
_077_,8.56µm
psc[0],8.51µm
_104_,8.38µm
_194_,8.36µm
_086_,8.32µm
_136_,8.24µm
_087_,8.2µm
_061_,8.19µm
_003_,8.16µm
_149_,8.1µm
_193_,8.06µm
_208_,7.98µm
_142_,7.86µm
psc[3],7.83µm
net59,7.7µm
net34,7.675µm
_198_,7.62µm
net16,7.58µm
_214_,7.44µm
_215_,7.44µm
net5,7.3µm
net18,7.3µm
_085_,7.28µm
_139_,7.18µm
psc[5],7.11µm
_101_,7.1µm
net3,6.98µm
net24,6.98µm
_089_,6.96µm
_210_,6.96µm
net4,6.86µm
_181_,6.83µm
_165_,6.76µm
psc[9],6.67µm
_044_,6.52µm
_126_,6.5µm
_115_,6.46µm
_001_,6.38µm
_223_,6.36µm
_234_,6.36µm
psc[7],6.31µm
_007_,6.3µm
_084_,6.16µm
psc[6],5.99µm
psc[17],5.97µm
_014_,5.96µm
_088_,5.92µm
net19,5.82µm
_058_,5.77µm
_121_,5.74µm
_107_,5.72µm
_055_,5.68µm
psc[20],5.63µm
psc[4],5.63µm
_185_,5.62µm
_148_,5.6µm
_189_,5.44µm
_081_,5.4µm
_004_,5.34µm
_124_,5.34µm
_164_,5.34µm
_048_,5.33µm
psc[25],5.29µm
psc[30],5.29µm
_095_,5.22µm
_157_,5.14µm
_130_,5.06µm
_030_,5.02µm
psc[16],4.95µm
psc[24],4.95µm
psc[27],4.95µm
_066_,4.92µm
_138_,4.92µm
_127_,4.88µm
psc_cnt\[19\],4.8µm
_076_,4.68µm
_207_,4.68µm
_150_,4.67µm
psc[23],4.61µm
psc[28],4.61µm
psc[29],4.61µm
psc[31],4.61µm
_133_,4.58µm
net25,4.56µm
_063_,4.49µm
_024_,4.46µm
_129_,4.46µm
_039_,4.39µm
_098_,4.34µm
_117_,4.34µm
_172_,4.34µm
_204_,4.34µm
psc[1],4.27µm
_200_,4.14µm
net46,4.14µm
_176_,4.1µm
net20,4.1µm
_177_,4.06µm
_028_,4µm
_112_,4µm
rst,3.93µm
_114_,3.88µm
psc_cnt\[15\],3.88µm
net27,3.88µm
_221_,3.76µm
_056_,3.64µm
_187_,3.64µm
net7,3.64µm
_002_,3.42µm
_008_,3.42µm
_027_,3.42µm
_110_,3.42µm
_122_,3.42µm
net28,3.42µm
_180_,3.32µm
_062_,3.3µm
_068_,3.3µm
_132_,3.22µm
_202_,3.22µm
_174_,3.18µm
_090_,3.08µm
net47,3.08µm
_046_,3.06µm
_033_,3.03µm
_102_,2.98µm
_051_,2.96µm
_229_,2.94µm
_036_,2.84µm
_037_,2.84µm
_045_,2.84µm
_059_,2.84µm
_064_,2.84µm
_186_,2.84µm
_160_,2.76µm
_013_,2.74µm
_021_,2.74µm
_032_,2.69µm
_047_,2.69µm
_049_,2.69µm
_050_,2.69µm
_031_,2.645µm
_093_,2.64µm
_065_,2.62µm
_151_,2.62µm
net43,2.52µm
_000_,2.5µm
_069_,2.5µm
_166_,2.5µm
net10,2.5µm
_038_,2.38µm
_042_,2.38µm
_178_,2.3µm
_019_,2.28µm
_035_,2.23µm
_041_,2.23µm
_043_,2.23µm
_053_,2.23µm
_054_,2.23µm
_034_,2.21µm
_040_,2.21µm
_010_,2.18µm
_011_,2.18µm
_022_,2.18µm
_029_,2.18µm
_217_,2.18µm
psc_cnt\[9\],2.18µm
_006_,2.16µm
_025_,2.16µm
_109_,2.16µm
_146_,2.16µm
net29,2.16µm
_145_,2.06µm
_052_,2.04µm
net30,2.04µm
_199_,1.94µm
_017_,1.84µm
_018_,1.84µm
_020_,1.84µm
_191_,1.84µm
_218_,1.84µm
_057_,1.82µm
_140_,1.72µm
_228_,1.72µm
_232_,1.72µm
_005_,1.7µm
_060_,1.7µm
_082_,1.7µm
_091_,1.7µm
net8,1.7µm
net12,1.7µm
net45,1.6µm
_182_,1.48µm
_206_,1.48µm
_175_,1.46µm
_078_,1.38µm
_009_,1.36µm
_023_,1.36µm
net1,1.14µm
net9,1.14µm
net26,1.14µm
_167_,1.02µm
_224_,1.02µm
_116_,0.92µm
_100_,0.46µm
_111_,0.46µm
_162_,0.46µm
