Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_25_141,VGND,li1,73.1400,81.6000,0.000013
FILLER_25_138,VGND,li1,69.4600,81.6000,0.000013
FILLER_25_130,VGND,li1,67.1600,81.6000,0.000013
FILLER_25_118,VGND,li1,62.5600,81.6000,0.000013
FILLER_25_113,VGND,li1,57.9600,81.6000,0.000013
FILLER_25_111,VGND,li1,56.8100,81.6000,0.000013
FILLER_25_104,VGND,li1,54.2800,81.6000,0.000013
FILLER_25_90,VGND,li1,47.6100,81.6000,0.000011
FILLER_25_85,VGND,li1,45.0800,81.6000,0.000011
FILLER_25_83,VGND,li1,43.9300,81.6000,0.000011
FILLER_25_77,VGND,li1,41.6300,81.6000,0.000010
FILLER_25_69,VGND,li1,39.1000,81.6000,0.000009
FILLER_25_57,VGND,li1,34.5000,81.6000,0.000007
FILLER_25_53,VGND,li1,30.5900,81.6000,0.000006
FILLER_25_41,VGND,li1,27.1400,81.6000,0.000004
FILLER_25_29,VGND,li1,21.6200,81.6000,0.000004
FILLER_25_27,VGND,li1,18.1700,81.6000,0.000004
FILLER_25_15,VGND,li1,15.1800,81.6000,0.000004
FILLER_25_3,VGND,li1,9.6600,81.6000,0.000004
FILLER_24_141,VGND,li1,73.1400,76.1600,0.000037
FILLER_24_139,VGND,li1,69.6900,76.1600,0.000037
FILLER_24_135,VGND,li1,68.5400,76.1600,0.000037
FILLER_24_123,VGND,li1,64.8600,76.1600,0.000037
FILLER_24_103,VGND,li1,53.8200,76.1600,0.000036
FILLER_24_83,VGND,li1,43.9300,76.1600,0.000034
FILLER_24_73,VGND,li1,39.7900,76.1600,0.000033
FILLER_24_65,VGND,li1,37.2600,76.1600,0.000031
FILLER_24_53,VGND,li1,32.6600,76.1600,0.000026
FILLER_24_41,VGND,li1,27.1400,76.1600,0.000018
FILLER_24_29,VGND,li1,21.6200,76.1600,0.000015
FILLER_24_27,VGND,li1,18.1700,76.1600,0.000015
FILLER_24_15,VGND,li1,15.1800,76.1600,0.000015
FILLER_24_3,VGND,li1,9.6600,76.1600,0.000015
FILLER_23_152,VGND,li1,75.6700,76.1600,0.000037
FILLER_23_146,VGND,li1,74.0600,76.1600,0.000037
FILLER_23_134,VGND,li1,69.9200,76.1600,0.000037
FILLER_23_110,VGND,li1,56.5800,76.1600,0.000036
FILLER_23_98,VGND,li1,51.9800,76.1600,0.000036
FILLER_23_80,VGND,li1,43.0100,76.1600,0.000033
FILLER_23_55,VGND,li1,31.0500,76.1600,0.000022
FILLER_23_51,VGND,li1,29.9000,76.1600,0.000022
FILLER_23_39,VGND,li1,26.2200,76.1600,0.000015
FILLER_23_27,VGND,li1,20.7000,76.1600,0.000015
FILLER_23_15,VGND,li1,15.1800,76.1600,0.000015
FILLER_23_3,VGND,li1,9.6600,76.1600,0.000015
FILLER_22_141,VGND,li1,73.1400,70.7200,0.000111
FILLER_22_128,VGND,li1,67.1600,70.7200,0.000110
FILLER_22_116,VGND,li1,61.6400,70.7200,0.000101
FILLER_22_109,VGND,li1,56.5800,70.7200,0.000095
FILLER_22_101,VGND,li1,52.2100,70.7200,0.000087
FILLER_22_97,VGND,li1,51.0600,70.7200,0.000087
FILLER_22_85,VGND,li1,47.3800,70.7200,0.000080
FILLER_22_81,VGND,li1,43.4700,70.7200,0.000075
FILLER_22_70,VGND,li1,39.5600,70.7200,0.000069
FILLER_22_66,VGND,li1,36.1100,70.7200,0.000065
FILLER_22_58,VGND,li1,34.0400,70.7200,0.000062
FILLER_22_46,VGND,li1,29.4400,70.7200,0.000055
FILLER_22_34,VGND,li1,23.9200,70.7200,0.000047
FILLER_22_27,VGND,li1,18.1700,70.7200,0.000061
FILLER_22_19,VGND,li1,16.1000,70.7200,0.000065
FILLER_22_14,VGND,li1,12.4200,70.7200,0.000072
FILLER_22_3,VGND,li1,7.8200,70.7200,0.000076
FILLER_21_152,VGND,li1,75.6700,70.7200,0.000111
FILLER_21_125,VGND,li1,63.2500,70.7200,0.000105
FILLER_21_113,VGND,li1,60.2600,70.7200,0.000101
FILLER_21_110,VGND,li1,56.5800,70.7200,0.000095
FILLER_21_98,VGND,li1,53.3600,70.7200,0.000091
FILLER_21_89,VGND,li1,46.9200,70.7200,0.000080
FILLER_21_79,VGND,li1,42.7800,70.7200,0.000075
FILLER_21_46,VGND,li1,27.1400,70.7200,0.000052
FILLER_21_24,VGND,li1,17.0200,70.7200,0.000065
