Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_25_141,VPWR,li1,73.1400,78.8800,1.799981
FILLER_25_138,VPWR,li1,69.4600,78.8800,1.799981
FILLER_25_130,VPWR,li1,67.1600,78.8800,1.799981
FILLER_25_118,VPWR,li1,62.5600,78.8800,1.799981
FILLER_25_113,VPWR,li1,57.9600,78.8800,1.799981
FILLER_25_111,VPWR,li1,56.8100,78.8800,1.799981
FILLER_25_104,VPWR,li1,54.2800,78.8800,1.799981
FILLER_25_90,VPWR,li1,47.6100,78.8800,1.799983
FILLER_25_85,VPWR,li1,45.0800,78.8800,1.799984
FILLER_25_83,VPWR,li1,43.9300,78.8800,1.799984
FILLER_25_77,VPWR,li1,41.6300,78.8800,1.799985
FILLER_25_69,VPWR,li1,39.1000,78.8800,1.799986
FILLER_25_57,VPWR,li1,34.5000,78.8800,1.799989
FILLER_25_53,VPWR,li1,30.5900,78.8800,1.799991
FILLER_25_41,VPWR,li1,27.1400,78.8800,1.799992
FILLER_25_29,VPWR,li1,21.6200,78.8800,1.799995
FILLER_25_27,VPWR,li1,18.1700,78.8800,1.799995
FILLER_25_15,VPWR,li1,15.1800,78.8800,1.799995
FILLER_25_3,VPWR,li1,9.6600,78.8800,1.799995
FILLER_24_141,VPWR,li1,73.1400,78.8800,1.799981
FILLER_24_139,VPWR,li1,69.6900,78.8800,1.799981
FILLER_24_135,VPWR,li1,68.5400,78.8800,1.799981
FILLER_24_123,VPWR,li1,64.8600,78.8800,1.799981
FILLER_24_103,VPWR,li1,53.8200,78.8800,1.799981
FILLER_24_83,VPWR,li1,43.9300,78.8800,1.799984
FILLER_24_73,VPWR,li1,39.7900,78.8800,1.799986
FILLER_24_65,VPWR,li1,37.2600,78.8800,1.799987
FILLER_24_53,VPWR,li1,32.6600,78.8800,1.799990
FILLER_24_41,VPWR,li1,27.1400,78.8800,1.799992
FILLER_24_29,VPWR,li1,21.6200,78.8800,1.799995
FILLER_24_27,VPWR,li1,18.1700,78.8800,1.799995
FILLER_24_15,VPWR,li1,15.1800,78.8800,1.799995
FILLER_24_3,VPWR,li1,9.6600,78.8800,1.799995
FILLER_23_152,VPWR,li1,75.6700,73.4400,1.799956
FILLER_23_146,VPWR,li1,74.0600,73.4400,1.799956
FILLER_23_134,VPWR,li1,69.9200,73.4400,1.799956
FILLER_23_110,VPWR,li1,56.5800,73.4400,1.799956
FILLER_23_98,VPWR,li1,51.9800,73.4400,1.799957
FILLER_23_80,VPWR,li1,43.0100,73.4400,1.799959
FILLER_23_55,VPWR,li1,31.0500,73.4400,1.799970
FILLER_23_51,VPWR,li1,29.9000,73.4400,1.799970
FILLER_23_39,VPWR,li1,26.2200,73.4400,1.799975
FILLER_23_27,VPWR,li1,20.7000,73.4400,1.799980
FILLER_23_15,VPWR,li1,15.1800,73.4400,1.799978
