Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_21_129,VPWR,li1,65.0900,68.0000,1.799966
FILLER_21_125,VPWR,li1,63.9400,68.0000,1.799966
FILLER_21_113,VPWR,li1,60.2600,68.0000,1.799966
FILLER_21_111,VPWR,li1,56.8100,68.0000,1.799966
FILLER_21_103,VPWR,li1,54.7400,68.0000,1.799966
FILLER_21_92,VPWR,li1,48.3000,68.0000,1.799967
FILLER_21_82,VPWR,li1,43.7000,68.0000,1.799968
FILLER_21_69,VPWR,li1,38.1800,68.0000,1.799971
FILLER_21_62,VPWR,li1,34.9600,68.0000,1.799974
FILLER_21_57,VPWR,li1,32.2000,68.0000,1.799976
FILLER_21_55,VPWR,li1,31.0500,68.0000,1.799977
FILLER_21_48,VPWR,li1,28.5200,68.0000,1.799980
FILLER_21_41,VPWR,li1,25.3000,68.0000,1.799983
FILLER_21_29,VPWR,li1,21.6200,68.0000,1.799987
FILLER_21_27,VPWR,li1,18.1700,68.0000,1.799987
FILLER_21_15,VPWR,li1,15.1800,68.0000,1.799987
FILLER_21_3,VPWR,li1,9.6600,68.0000,1.799987
FILLER_20_129,VPWR,li1,65.0900,68.0000,1.799966
FILLER_20_121,VPWR,li1,63.0200,68.0000,1.799966
FILLER_20_109,VPWR,li1,58.4200,68.0000,1.799966
FILLER_20_97,VPWR,li1,52.9000,68.0000,1.799966
FILLER_20_89,VPWR,li1,46.6900,68.0000,1.799968
FILLER_20_85,VPWR,li1,45.5400,68.0000,1.799968
FILLER_20_82,VPWR,li1,43.7000,68.0000,1.799968
FILLER_20_61,VPWR,li1,34.0400,68.0000,1.799974
FILLER_20_48,VPWR,li1,27.8300,68.0000,1.799980
FILLER_20_36,VPWR,li1,24.8400,68.0000,1.799983
FILLER_20_29,VPWR,li1,19.0900,68.0000,1.799987
FILLER_20_27,VPWR,li1,18.1700,68.0000,1.799987
FILLER_20_15,VPWR,li1,15.1800,68.0000,1.799987
FILLER_20_3,VPWR,li1,9.6600,68.0000,1.799987
FILLER_19_129,VPWR,li1,65.0900,62.5600,1.799863
FILLER_19_125,VPWR,li1,63.9400,62.5600,1.799863
FILLER_19_113,VPWR,li1,60.2600,62.5600,1.799863
FILLER_19_111,VPWR,li1,56.8100,62.5600,1.799863
FILLER_19_107,VPWR,li1,55.6600,62.5600,1.799865
FILLER_19_93,VPWR,li1,48.7600,62.5600,1.799873
FILLER_19_79,VPWR,li1,42.0900,62.5600,1.799886
FILLER_19_23,VPWR,li1,16.5600,62.5600,1.799954
FILLER_19_15,VPWR,li1,14.2600,62.5600,1.799954
FILLER_19_3,VPWR,li1,9.6600,62.5600,1.799954
FILLER_18_129,VPWR,li1,65.0900,62.5600,1.799863
FILLER_18_117,VPWR,li1,62.1000,62.5600,1.799863
FILLER_18_95,VPWR,li1,49.6800,62.5600,1.799873
