net,length_um
net40,117.38µm
net42,109.3µm
net35,106.33µm
net33,101.7µm
_243_,98.62µm
net43,98.36µm
clknet_2_1__leaf_clk,87.88µm
clknet_2_3__leaf_clk,82.74µm
net54,79.46µm
counter\[27\],76.68µm
clknet_2_2__leaf_clk,73.7µm
net6,73.46µm
_237_,72.01µm
_103_,70.36µm
clk,70.03µm
clknet_2_0__leaf_clk,68.73µm
counter\[18\],66.605µm
net36,64.14µm
counter\[2\],63.92µm
_089_,62.62µm
counter\[24\],60.2µm
counter\[19\],59.815µm
counter\[21\],59.64µm
net37,56.86µm
counter\[4\],56.32µm
counter\[11\],54.575µm
net13,54.285µm
counter\[26\],53.2µm
_117_,53.16µm
net41,52.91µm
counter\[15\],52.765µm
clknet_0_clk,52.52µm
net38,52.41µm
counter\[25\],52.08µm
counter\[14\],51.84µm
counter\[3\],51.82µm
net39,51.68µm
_106_,50.55µm
net21,49.74µm
net1,49.5µm
net3,49.24µm
counter\[5\],49.16µm
counter\[7\],48.135µm
net20,47.62µm
net4,47.51µm
net31,47.13µm
_295_,46.62µm
_224_,46.22µm
_269_,45.64µm
net12,45.5µm
counter\[29\],43.82µm
net7,43.24µm
counter\[22\],42.515µm
net2,42.24µm
counter\[13\],41.84µm
net45,41.075µm
net23,40.98µm
counter\[12\],40.68µm
_081_,39.88µm
_380_,39.48µm
counter\[16\],39.32µm
_384_,38.7µm
counter\[17\],38.54µm
counter\[20\],38.3µm
counter\[23\],38.3µm
counter\[6\],37.66µm
counter\[10\],36.82µm
counter\[28\],36.34µm
_262_,36.2µm
_082_,35.54µm
counter\[30\],35.5µm
_099_,35.26µm
_283_,35.01µm
_083_,34.8µm
_107_,34.64µm
counter\[1\],34.62µm
counter\[9\],33.82µm
_110_,33.64µm
_072_,33.385µm
_084_,33.3µm
_085_,32.89µm
_290_,31.3µm
_032_,31.04µm
_277_,29.66µm
_338_,29.66µm
counter\[0\],28.26µm
_086_,28.12µm
_066_,27.82µm
_253_,27.66µm
_240_,27.48µm
_352_,27.38µm
_080_,27.26µm
_070_,27.24µm
_316_,26.94µm
net22,26.26µm
_097_,26.17µm
counter\[31\],26.02µm
net5,25.94µm
net8,25.76µm
_071_,24.88µm
_104_,24.63µm
_339_,24.5µm
_369_,24.4µm
_109_,23.4µm
_340_,23.22µm
_239_,22.24µm
_362_,22.04µm
_358_,22µm
_114_,21.88µm
psc[31],21.8µm
_247_,21.56µm
_153_,21.48µm
_332_,21.48µm
_124_,21.42µm
_074_,21.32µm
_078_,21.06µm
net24,21.06µm
_368_,20.86µm
_242_,20.74µm
net30,20.64µm
_126_,20.62µm
_356_,20.56µm
psc[29],20.42µm
_179_,20.32µm
_069_,20.3µm
net27,20.3µm
psc[30],19.86µm
counter\[8\],19.42µm
_167_,19.29µm
net10,19.02µm
_158_,18.92µm
_198_,18.86µm
_174_,18.52µm
_273_,18.36µm
_359_,17.74µm
_176_,17.62µm
_307_,17.4µm
net25,17.3µm
net62,17.245µm
psc[20],16.97µm
_282_,16.96µm
net11,16.74µm
net65,16.74µm
_169_,16.44µm
net26,16.165µm
_255_,16µm
_162_,15.9µm
psc[17],15.87µm
net9,15.78µm
_223_,15.38µm
_091_,15.36µm
