Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_13_77,VGND,li1,42.3200,48.9600,0.000006
FILLER_13_65,VGND,li1,38.1800,48.9600,0.000006
FILLER_13_57,VGND,li1,32.2000,48.9600,0.000005
FILLER_13_55,VGND,li1,31.0500,48.9600,0.000005
FILLER_13_44,VGND,li1,25.9900,48.9600,0.000004
FILLER_13_32,VGND,li1,23.0000,48.9600,0.000004
FILLER_13_23,VGND,li1,16.5600,48.9600,0.000005
FILLER_13_15,VGND,li1,14.2600,48.9600,0.000005
FILLER_13_3,VGND,li1,9.6600,48.9600,0.000005
FILLER_12_80,VGND,li1,43.0100,43.5200,0.000067
FILLER_12_45,VGND,li1,26.4500,43.5200,0.000048
FILLER_12_36,VGND,li1,22.5400,43.5200,0.000048
FILLER_12_6,VGND,li1,9.2000,43.5200,0.000063
FILLER_11_64,VGND,li1,35.6500,43.5200,0.000062
FILLER_11_55,VGND,li1,31.0500,43.5200,0.000055
FILLER_11_51,VGND,li1,29.9000,43.5200,0.000051
FILLER_11_39,VGND,li1,24.3800,43.5200,0.000044
FILLER_11_19,VGND,li1,14.9500,43.5200,0.000061
FILLER_11_6,VGND,li1,8.7400,43.5200,0.000063
FILLER_10_80,VGND,li1,43.0100,38.0800,0.000060
FILLER_10_63,VGND,li1,34.7300,38.0800,0.000055
FILLER_10_57,VGND,li1,31.9700,38.0800,0.000050
FILLER_10_51,VGND,li1,30.3600,38.0800,0.000050
FILLER_10_47,VGND,li1,27.3700,38.0800,0.000047
FILLER_10_41,VGND,li1,25.7600,38.0800,0.000043
FILLER_10_29,VGND,li1,21.6200,38.0800,0.000055
FILLER_10_24,VGND,li1,17.4800,38.0800,0.000059
FILLER_10_20,VGND,li1,14.9500,38.0800,0.000063
FILLER_9_70,VGND,li1,38.4100,38.0800,0.000058
FILLER_9_62,VGND,li1,35.8800,38.0800,0.000055
FILLER_9_57,VGND,li1,32.2000,38.0800,0.000053
FILLER_9_55,VGND,li1,31.0500,38.0800,0.000050
FILLER_9_45,VGND,li1,26.4500,38.0800,0.000043
FILLER_9_41,VGND,li1,25.3000,38.0800,0.000043
FILLER_9_31,VGND,li1,20.0100,38.0800,0.000055
FILLER_9_12,VGND,li1,11.9600,38.0800,0.000067
FILLER_9_3,VGND,li1,7.1300,38.0800,0.000068
FILLER_8_80,VGND,li1,43.0100,32.6400,0.000136
FILLER_8_56,VGND,li1,31.5100,32.6400,0.000114
FILLER_8_41,VGND,li1,25.0700,32.6400,0.000090
FILLER_8_29,VGND,li1,21.6200,32.6400,0.000105
FILLER_8_24,VGND,li1,17.4800,32.6400,0.000123
FILLER_8_18,VGND,li1,14.4900,32.6400,0.000131
FILLER_8_10,VGND,li1,11.9600,32.6400,0.000133
FILLER_8_3,VGND,li1,7.8200,32.6400,0.000137
FILLER_7_57,VGND,li1,33.1200,32.6400,0.000123
FILLER_7_55,VGND,li1,31.0500,32.6400,0.000114
FILLER_7_43,VGND,li1,28.0600,32.6400,0.000105
FILLER_6_60,VGND,li1,34.5000,27.2000,0.000245
FILLER_6_24,VGND,li1,17.4800,27.2000,0.000308
FILLER_6_15,VGND,li1,13.8000,27.2000,0.000326
FILLER_5_32,VGND,li1,20.4700,27.2000,0.000266
FILLER_5_28,VGND,li1,19.3200,27.2000,0.000283
FILLER_4_44,VGND,li1,26.6800,21.7600,0.000159
FILLER_4_32,VGND,li1,23.0000,21.7600,0.000149
FILLER_4_3,VGND,li1,7.8200,21.7600,0.000188
FILLER_3_80,VGND,li1,43.0100,21.7600,0.000249
FILLER_3_74,VGND,li1,40.2500,21.7600,0.000249
FILLER_3_57,VGND,li1,33.1200,21.7600,0.000198
FILLER_3_54,VGND,li1,30.8200,21.7600,0.000180
FILLER_3_26,VGND,li1,18.4000,21.7600,0.000167
FILLER_3_14,VGND,li1,14.7200,21.7600,0.000185
FILLER_3_7,VGND,li1,8.9700,21.7600,0.000188
FILLER_3_3,VGND,li1,7.8200,21.7600,0.000188
FILLER_2_81,VGND,li1,43.2400,16.3200,0.000135
FILLER_2_57,VGND,li1,31.9700,16.3200,0.000124
FILLER_2_32,VGND,li1,20.4700,16.3200,0.000125
FILLER_2_3,VGND,li1,7.8200,16.3200,0.000145
FILLER_1_72,VGND,li1,39.3300,16.3200,0.000135
FILLER_1_60,VGND,li1,35.8800,16.3200,0.000134
FILLER_1_35,VGND,li1,21.8500,16.3200,0.000125
FILLER_1_27,VGND,li1,19.7800,16.3200,0.000130
FILLER_1_15,VGND,li1,15.1800,16.3200,0.000145
FILLER_1_3,VGND,li1,9.6600,16.3200,0.000145
FILLER_0_69,VGND,li1,39.1000,10.8800,0.000008
FILLER_0_57,VGND,li1,34.5000,10.8800,0.000006
FILLER_0_53,VGND,li1,30.5900,10.8800,0.000005
FILLER_0_41,VGND,li1,27.1400,10.8800,0.000004
FILLER_0_29,VGND,li1,21.6200,10.8800,0.000003
FILLER_0_27,VGND,li1,18.1700,10.8800,0.000003
FILLER_0_15,VGND,li1,15.1800,10.8800,0.000003
FILLER_0_3,VGND,li1,9.6600,10.8800,0.000003
hold2,VGND,li1,41.8600,27.2000,0.000263
hold1,VGND,li1,41.8600,16.3200,0.000135
clkload0,VGND,li1,35.8800,21.7600,0.000232
clkbuf_1_1__f_clk,VGND,li1,39.1000,21.7600,0.000249
clkbuf_1_0__f_clk,VGND,li1,13.8000,27.2000,0.000326
clkbuf_0_clk,VGND,li1,26.6800,27.2000,0.000222
output10,VGND,li1,39.1000,27.2000,0.000263
input9,VGND,li1,42.3200,10.8800,0.000009
input8,VGND,li1,41.4000,38.0800,0.000060
input7,VGND,li1,33.3500,48.9600,0.000005
input6,VGND,li1,30.1300,48.9600,0.000005
input5,VGND,li1,28.7500,48.9600,0.000005
input4,VGND,li1,19.5500,48.9600,0.000005
input3,VGND,li1,7.5900,43.5200,0.000063
input2,VGND,li1,9.2000,38.0800,0.000068
input1,VGND,li1,7.5900,43.5200,0.000063
TAP_TAPCELL_ROW_13_43,VGND,li1,31.5100,48.6680,0.000005
